MovieTitle,Directors,Writers,ReleaseDate,Genres,RunTime,Rated,Cast,Ratings,ImageURL-src
Interstellar,"Director:

Christopher Nolan","Writers:

Jonathan Nolan, Christopher Nolan",2014-11-07,"Genres:

 Adventure |

 Drama |

 Sci-Fi",2h 49m,12A,"Stars:

Matthew McConaughey, Anne Hathaway, Jessica Chastain            |

See full cast & crew »",8.6,"https://m.media-amazon.com/images/M/MV5BMThiZTU2NGUtM2RlYi00N2E5LThjMDMtZDY5YTU5MGM1M2IxXkEyXkFqcGdeQXVyNjc1ODU3OTE@._V1_SY500_CR0,0,349,500_AL_.jpg";
Harakiri,"Director:

Masaki Kobayashi","Writers:

Yasuhiko Takiguchi (novel), Shinobu Hashimoto (screenplay)",1964-08-04,"Genres:

 Action |

 Drama |

 History",2h 13m,X,"Stars:

Tatsuya Nakadai, Akira Ishihama, Shima Iwashita            |

See full cast & crew »",8.7,"https://m.media-amazon.com/images/M/MV5BODAxNTBhZjktZWFmYS00NzI0LWE1ZWItYmJiNDc0ODRmNTk0XkEyXkFqcGdeQXVyMTA1NTM1NDI2._V1_SY500_CR0,0,402,500_AL_.jpg";
Star Wars: Episode IV - A New Hope,"Director:

George Lucas","Writer:

George Lucas",1978-01-29,"Genres:

 Action |

 Adventure |

 Fantasy |

 Sci-Fi",2h 1m,U,"Stars:

Mark Hamill, Harrison Ford, Carrie Fisher            |

See full cast & crew »",8.6,https://m.media-amazon.com/images/M/MV5BNGQyY2NkZDYtZjVlMi00NmZlLWEyMGMtZGZiOGViZGZlZjdkXkEyXkFqcGdeQXVyODE1NDM3MDQ@._V1_SY360_SX640_AL_.jpg;
Good Will Hunting,"Director:

Gus Van Sant","Writers:

Matt Damon, Ben Affleck",1998-03-06,"Genres:

 Drama |

 Romance",2h 6m,15,"Stars:

Robin Williams, Matt Damon, Ben Affleck            |

See full cast & crew »",8.3,"https://m.media-amazon.com/images/M/MV5BZGE5MmU2MzUtMDQ2Mi00OTIzLWFlNjUtMmI4MGU5ZDU4ZGIzXkEyXkFqcGdeQXVyMTI3Mzg5Nzg@._V1_SY237_CR0,0,164,237_AL_.jpg";
Dangal,"Director:

Nitesh Tiwari","Writers:

Piyush Gupta, Shreyas Jain            |

3 more credits »",2016-12-22,"Genres:

 Action |

 Biography |

 Drama |

 Sport",2h 41m,PG,"Stars:

Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh            |

See full cast & crew »",8.4,"https://m.media-amazon.com/images/M/MV5BMjA4NDkyMTY0N15BMl5BanBnXkFtZTgwMDc0NTA5MDI@._V1_SY500_CR0,0,337,500_AL_.jpg";
A Clockwork Orange,"Director:

Stanley Kubrick","Writers:

Stanley Kubrick (screenplay), Anthony Burgess (novel)",1972-01-13,"Genres:

 Crime |

 Drama |

 Sci-Fi",2h 16m,X,"Stars:

Malcolm McDowell, Patrick Magee, Michael Bates            |

See full cast & crew »",8.3,"https://m.media-amazon.com/images/M/MV5BMjEzODI0MDgzNl5BMl5BanBnXkFtZTgwNjcyNDM2MTI@._V1_SY500_CR0,0,353,500_AL_.jpg";
Eternal Sunshine of the Spotless Mind,"Director:

Michel Gondry","Writers:

Charlie Kaufman (story), Michel Gondry (story)            |

2 more credits »",2004-04-30,"Genres:

 Drama |

 Romance |

 Sci-Fi",1h 48m,15,"Stars:

Jim Carrey, Kate Winslet, Tom Wilkinson            |

See full cast & crew »",8.3,"https://m.media-amazon.com/images/M/MV5BMTYzMjE1MzEwMl5BMl5BanBnXkFtZTcwNDEwOTMyMw@@._V1_SY500_CR0,0,769,500_AL_.jpg";
Coco,"Directors:

Lee Unkrich, Adrian Molina (co-director)","Writers:

Lee Unkrich (original story by), Jason Katz (original story by)            |

4 more credits »",2018-01-19,"Genres:

 Animation |

 Adventure |

 Family |

 Fantasy |

 Music |

 Mystery",1h 45m,PG,"Stars:

Anthony Gonzalez, Gael García Bernal, Benjamin Bratt            |

See full cast & crew »",8.4,https://m.media-amazon.com/images/M/MV5BNTJlNDgzNDMtNjAyZC00ODNhLTgwNDktODk5ZWZmMjBiODY1XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_SY357_SX250_AL_.jpg;
Like Stars on Earth,"Directors:

Aamir Khan, Amole Gupte (uncredited)","Writers:

Amole Gupte (dialogue & screenplay), Amole Gupte (story)",2007-12-21,"Genres:

 Drama |

 Family",2h 45m,PG,"Stars:

Darsheel Safary, Aamir Khan, Tisca Chopra            |

See full cast & crew »",8.4,"https://m.media-amazon.com/images/M/MV5BMDAyMjk5Y2UtODY1MC00ZTFkLTkzY2UtNDk3MzllZDZhYjgxXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SY500_CR0,0,362,500_AL_.jpg";
12 Angry Men,"Director:

Sidney Lumet","Writers:

Reginald Rose (story), Reginald Rose (screenplay)",1957-04-10,"Genres:

 Drama",1h 36m,U,"Stars:

Henry Fonda, Lee J. Cobb, Martin Balsam            |

See full cast & crew »",8.9,https://m.media-amazon.com/images/M/MV5BODgwMzJhNDYtNjg3Ni00Yzk2LWIyZDItMzUzMzVkMzcyNGY2XkEyXkFqcGdeQXVyODA1NDcyODc@._V1_SY245_SX174_AL_.jpg;
The Departed,"Director:

Martin Scorsese","Writers:

William Monahan (screenplay), Alan Mak            |

1 more credit »",2006-10-06,"Genres:

 Crime |

 Drama |

 Thriller",2h 31m,18,"Stars:

Leonardo DiCaprio, Matt Damon, Jack Nicholson            |

See full cast & crew »",8.5,"https://m.media-amazon.com/images/M/MV5BYzM5MjkwNDMtM2FmNi00MWJmLWI2M2QtMDExNDE2OTNmOGFhXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_SY500_CR0,0,368,500_AL_.jpg";
Inception,"Director:

Christopher Nolan","Writer:

Christopher Nolan",2010-07-16,"Genres:

 Action |

 Adventure |

 Sci-Fi |

 Thriller",2h 28m,12A,"Stars:

Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page            |

See full cast & crew »",8.8,"https://m.media-amazon.com/images/M/MV5BMTkxOTMyMDI0MV5BMl5BanBnXkFtZTcwODU0OTk1Mw@@._V1_SY500_CR0,0,342,500_AL_.jpg";
The Hunt,"Director:

Thomas Vinterberg","Writers:

Tobias Lindholm (screenplay), Thomas Vinterberg (screenplay)",2013-01-10,"Genres:

 Drama",1h 55m,15,"Stars:

Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp            |

See full cast & crew »",8.3,https://m.media-amazon.com/images/M/MV5BMTc4NDU4NzYzNF5BMl5BanBnXkFtZTcwODczMDk3OA@@._V1_SY500_SX750_AL_.jpg;
Requiem for a Dream,"Director:

Darren Aronofsky","Writers:

Hubert Selby Jr. (based on the book by), Hubert Selby Jr. (screenplay)            |

1 more credit »",2001-01-19,"Genres:

 Drama",1h 42m,18,"Stars:

Ellen Burstyn, Jared Leto, Jennifer Connelly            |

See full cast & crew »",8.3,https://m.media-amazon.com/images/M/MV5BYTk5YjY2OWYtODVmYi00OTU1LThlNjMtM2MwZTUzZjYzMzAzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_SY354_SX250_AL_.jpg;
WALL·E,"Director:

Andrew Stanton","Writers:

Andrew Stanton (original story by), Pete Docter (original story by)            |

2 more credits »",2008-07-18,"Genres:

 Animation |

 Adventure |

 Family |

 Sci-Fi",1h 38m,U,"Stars:

Ben Burtt, Elissa Knight, Jeff Garlin            |

See full cast & crew »",8.4,"https://m.media-amazon.com/images/M/MV5BNjUyODI5MzQyOV5BMl5BanBnXkFtZTcwNTgwMzMzMw@@._V1_SY500_CR0,0,336,500_AL_.jpg";
It's a Wonderful Life,"Director:

Frank Capra","Writers:

Frances Goodrich (screenplay), Albert Hackett (screenplay)            |

3 more credits »",1947-01-07,"Genres:

 Drama |

 Family |

 Fantasy",2h 10m,U,"Stars:

James Stewart, Donna Reed, Lionel Barrymore            |

See full cast & crew »",8.6,"https://m.media-amazon.com/images/M/MV5BNzljOWNiZmUtMWNhZC00ZTczLWI0NmQtMjhlY2EwY2FhMjE5XkEyXkFqcGdeQXVyNjE3MTc3MTU@._V1_SX340_CR0,0,340,441_AL_.jpg";
Alien,"Director:

Ridley Scott","Writers:

Dan O'Bannon (screenplay by), Dan O'Bannon (story by)            |

1 more credit »",1979-09-06,"Genres:

 Horror |

 Sci-Fi",1h 57m,X,"Stars:

Sigourney Weaver, Tom Skerritt, John Hurt            |

See full cast & crew »",8.4,"https://m.media-amazon.com/images/M/MV5BNTA3ZjE2ZWUtNjQwMy00NTE1LTg5N2UtNjQ1ZjY2Yjc2MzE3XkEyXkFqcGdeQXVyNDMxNjY1NTU@._V1_SY500_CR0,0,348,500_AL_.jpg";
American History X,"Director:

Tony Kaye","Writer:

David McKenna",1999-03-26,"Genres:

 Drama",1h 59m,18,"Stars:

Edward Norton, Edward Furlong, Beverly D'Angelo            |

See full cast & crew »",8.5,https://m.media-amazon.com/images/M/MV5BZjlhN2Y0ZDctZjVjOS00NzI5LWFjNWYtNGNiYzJlMmE4MTMyXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_SY467_SX324_AL_.jpg;
Toy Story,"Director:

John Lasseter","Writers:

John Lasseter (original story by), Pete Docter (original story by)            |

6 more credits »",1996-03-22,"Genres:

 Animation |

 Adventure |

 Comedy |

 Family |

 Fantasy",1h 21m,PG,"Stars:

Tom Hanks, Tim Allen, Don Rickles            |

See full cast & crew »",8.3,"https://m.media-amazon.com/images/M/MV5BNDBjNTViNGQtZWNjYi00Y2VkLTg3NDMtYTQwZWNhMGU2Njk3XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SY500_CR0,0,333,500_AL_.jpg";
Seven Samurai,"Director:

Akira Kurosawa","Writers:

Akira Kurosawa (screenplay), Shinobu Hashimoto (screenplay)            |

1 more credit »",1956-11-19,"Genres:

 Action |

 Adventure |

 Drama",3h 27m,A,"Stars:

Toshirô Mifune, Takashi Shimura, Keiko Tsushima            |

See full cast & crew »",8.6,"https://m.media-amazon.com/images/M/MV5BOTM5YTBkMTQtZmJlNS00ZjFlLWJhZDItMzg5ZDg1N2NhZDFhXkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_SX640_CR0,0,640,422_AL_.jpg";
Modern Times,"Director:

Charles Chaplin (as Charlie Chaplin)","Writer:

Charles Chaplin (as Charlie Chaplin)",1936-02-11,"Genres:

 Comedy |

 Drama |

 Family |

 Romance",1h 27m,U,"Stars:

Charles Chaplin, Paulette Goddard, Henry Bergman            |

See full cast & crew »",8.5,"https://m.media-amazon.com/images/M/MV5BNWUxMmI2MTItOTU4Ny00MzEwLTkzY2YtNTNiMjgwYWZlYWEyL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SY500_CR0,0,718,500_AL_.jpg";
The Green Mile,"Director:

Frank Darabont","Writers:

Stephen King (novel), Frank Darabont (screenplay)",2000-03-03,"Genres:

 Crime |

 Drama |

 Fantasy |

 Mystery",3h 9m,18,"Stars:

Tom Hanks, Michael Clarke Duncan, David Morse            |

See full cast & crew »",8.6,"https://m.media-amazon.com/images/M/MV5BMTA0OTU2Y2QtNjY2Yy00M2Q5LWFiYzQtODlmN2ZkOWQxNGE4XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_SY500_CR0,0,353,500_AL_.jpg";
Schindler's List,"Director:

Steven Spielberg","Writers:

Thomas Keneally (book), Steven Zaillian (screenplay)",1994-02-18,"Genres:

 Biography |

 Drama |

 History",3h 15m,15,"Stars:

Liam Neeson, Ralph Fiennes, Ben Kingsley            |

See full cast & crew »",8.9,https://m.media-amazon.com/images/M/MV5BNzczOWJlYTAtMDQ1Yy00MWU5LTk3Y2QtMWEyOGRiMjFkMTJmXkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_SY480_SX303_AL_.jpg;
Rear Window,"Director:

Alfred Hitchcock","Writers:

John Michael Hayes (screenplay), Cornell Woolrich (based on the short story by)",1954-11-15,"Genres:

 Mystery |

 Thriller",1h 52m,A,"Stars:

James Stewart, Grace Kelly, Wendell Corey            |

See full cast & crew »",8.4,"https://m.media-amazon.com/images/M/MV5BYzgyMzA2OTEtMDM1ZC00YWMzLTlmODktOTRmM2E5ZjgzMzBiXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX888_CR0,0,888,160_AL_.jpg";
Full Metal Jacket,"Director:

Stanley Kubrick","Writers:

Stanley Kubrick (screenplay by), Michael Herr (screenplay by)            |

2 more credits »",1987-09-11,"Genres:

 Drama |

 War",1h 56m,15,"Stars:

Matthew Modine, R. Lee Ermey, Vincent D'Onofrio            |

See full cast & crew »",8.3,"https://m.media-amazon.com/images/M/MV5BMjcwM2Y3MjUtOWJiMC00ODUyLWE2NjAtNmViNGQwNmRjMTI3XkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_SX250_CR0,0,250,357_AL_.jpg";
City Lights,"Director:

Charles Chaplin","Writer:

Charles Chaplin",1931-03-07,"Genres:

 Comedy |

 Drama |

 Romance",1h 27m,U,"Stars:

Charles Chaplin, Virginia Cherrill, Florence Lee            |

See full cast & crew »",8.5,https://m.media-amazon.com/images/M/MV5BYjAzMDI3MTgtZWIxNi00MzBiLTk4NzQtZmRlNjM1ZGJjODVhXkEyXkFqcGdeQXVyMjU4NzU2OTA@._V1_SY384_SX480_AL_.jpg;
The Great Dictator,"Director:

Charles Chaplin","Writer:

Charles Chaplin",1941-03-07,"Genres:

 Comedy |

 Drama |

 War",2h 5m,U,"Stars:

Charles Chaplin, Paulette Goddard, Jack Oakie            |

See full cast & crew »",8.4,"https://m.media-amazon.com/images/M/MV5BYmZjM2U5YTYtMzUyNC00YWQ2LTlkMGItMTdjNzc3NDM0OTkxXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SY500_CR0,0,381,500_AL_.jpg";
